mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,48,49,1754403,1,2,1,1,1,0.001953,0.002441,0,9318400,26902528,798629888,973131776,1,100,18
903cb3bb245d,48,49,1754463,1,2,1,1,1,0,0,0,9318400,26902528,798527488,973131776,1,100,18
903cb3bb245d,48,49,1754523,1,2,1,1,1,0,0,0,9318400,26902528,798543872,973131776,1,100,18
903cb3bb245d,48,49,1754583,1,2,1,1,1,0,0,0,9318400,26902528,798896128,973131776,1,100,18
903cb3bb245d,48,49,1754643,1,2,1,1,1,0,0,0,9318400,26902528,798691328,973131776,1,100,18
903cb3bb245d,48,49,1754703,1,2,1,1,1,0,0,0,9318400,26902528,798334976,973131776,1,100,18
903cb3bb245d,48,49,1754764,1,2,1,1,1,0,0,0,9318400,26902528,799002624,973131776,1,100,18
903cb3bb245d,48,49,1754824,1,2,1,1,1,0,0,0,9318400,26902528,799186944,973131776,1,100,18
903cb3bb245d,48,49,1754884,1,2,1,1,1,0,0,0,9318400,26902528,799125504,973131776,1,100,18
903cb3bb245d,48,49,1754944,1,2,1,1,1,0,0,0,9318400,26902528,798679040,973131776,1,100,18
903cb3bb245d,48,49,1755004,1,1,1,1,1,0,0,0,9318400,26902528,799100928,973131776,1,100,18
903cb3bb245d,48,49,1755064,1,2,1,1,1,0,0,0,9318400,26902528,799203328,973131776,1,100,18
903cb3bb245d,48,49,1755184,1,2,1,1,1,0.018555,0.008789,0,9318400,26902528,798576640,973131776,1,100,18
903cb3bb245d,48,49,1755244,1,3,1,1,1,0.004883,0.00293,0,9318400,26902528,799174656,973131776,1,100,18
903cb3bb245d,48,49,1755304,1,2,1,1,1,0,0,0,9318400,26902528,799080448,973131776,1,100,18
903cb3bb245d,48,49,1755364,1,2,1,1,1,0,0,0,9318400,26902528,799113216,973131776,1,100,18
903cb3bb245d,48,49,1755424,1,3,1,1,1,0.114748,0.040528,0.011231,9318400,26902528,799608832,973131776,1,100,18
903cb3bb245d,48,49,1755484,1,3,1,1,1,0.072755,0.045899,0.011231,9318400,26902528,799068160,973131776,1,100,18
