mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,46,47,1881274,1,1,1,1,1,0.035645,0.016602,0.000977,9318400,26902528,798908416,973131776,1,100,18
903cb3bb245d,46,47,1881334,1,2,1,1,1,0.010742,0.010742,0.0,9318400,26902528,799399936,973131776,1,100,18
903cb3bb245d,46,47,1881394,1,2,1,1,1,0.002441,0.004883,0.0,9318400,26902528,798875648,973131776,1,100,18
903cb3bb245d,46,47,1881454,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,798900224,973131776,1,100,18
903cb3bb245d,46,47,1881574,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799502336,973131776,1,100,18
903cb3bb245d,46,47,1881634,1,3,1,1,1,0.0,0.0,0.0,9318400,26902528,799432704,973131776,1,100,18
903cb3bb245d,46,47,1881694,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799383552,973131776,1,100,18
903cb3bb245d,46,47,1881754,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799272960,973131776,1,100,18
903cb3bb245d,46,47,1881814,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799272960,973131776,1,100,18
903cb3bb245d,46,47,1881874,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799559680,973131776,1,100,18
903cb3bb245d,46,47,1881934,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799662080,973131776,1,100,18
903cb3bb245d,46,47,1881994,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799019008,973131776,1,100,18
903cb3bb245d,46,47,1882055,1,3,1,1,2,0.0,0.0,0.0,9318400,26902528,799272960,973131776,1,100,18
903cb3bb245d,46,47,1882115,1,3,1,1,1,0.056153,0.014649,0.003418,9318400,26902528,799449088,973131776,1,100,18
903cb3bb245d,46,47,1882175,1,1,1,1,1,0.066896,0.025879,0.003418,9318400,26902528,799080448,973131776,1,100,18
903cb3bb245d,46,47,1882235,1,1,1,1,1,0.022461,0.02002,0.0,9318400,26902528,799424512,973131776,1,100,18
903cb3bb245d,46,47,1882295,1,2,1,1,1,0.005859,0.01416,0.0,9318400,26902528,799121408,973131776,1,100,18
903cb3bb245d,46,47,1882355,1,2,1,1,1,0.058106,0.025391,0.003418,9318400,26902528,799129600,973131776,1,100,18
903cb3bb245d,46,47,1882415,1,2,1,1,1,0.019043,0.019532,0.0,9318400,26902528,799010816,973131776,1,100,18
903cb3bb245d,46,47,1882475,1,2,1,1,1,0.004883,0.013672,0.0,9318400,26902528,799154176,973131776,1,100,18
903cb3bb245d,46,47,1882535,1,2,1,1,1,0.05713,0.024903,0.003418,9318400,26902528,798969856,973131776,1,100,18
903cb3bb245d,46,47,1882595,1,2,1,1,1,0.019043,0.019043,0.0,9318400,26902528,799342592,973131776,1,100,18
903cb3bb245d,46,47,1882655,1,2,1,1,1,0.004883,0.013184,0.0,9318400,26902528,799305728,973131776,1,100,18
903cb3bb245d,46,47,1882715,1,2,1,1,1,0.0,0.007324,0.0,9318400,26902528,799432704,973131776,1,100,18
903cb3bb245d,46,47,1882775,1,2,1,1,1,0.0,0.001465,0.0,9318400,26902528,799535104,973131776,1,100,18
903cb3bb245d,46,47,1882835,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799408128,973131776,1,100,18
903cb3bb245d,46,47,1882896,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799399936,973131776,1,100,18
903cb3bb245d,46,47,1882956,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799281152,973131776,1,100,18
903cb3bb245d,46,47,1883016,1,3,1,1,1,0.0,0.0,0.0,9318400,26902528,799313920,973131776,1,100,18
903cb3bb245d,46,47,1883076,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799440896,973131776,1,100,18
903cb3bb245d,46,47,1883136,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799584256,973131776,1,100,18
903cb3bb245d,46,47,1883256,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,798953472,973131776,1,100,18
903cb3bb245d,46,47,1883316,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799330304,973131776,1,100,18
903cb3bb245d,46,47,1883376,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799440896,973131776,1,100,18
903cb3bb245d,46,47,1883436,1,2,1,1,1,0.035645,0.012207,0.000977,9318400,26902528,799305728,973131776,1,100,18
903cb3bb245d,46,47,1883496,1,2,1,1,1,0.010742,0.006348,0.0,9318400,26902528,798969856,973131776,1,100,18
903cb3bb245d,46,47,1883556,1,2,1,1,1,0.002441,0.000488,0.0,9318400,26902528,799272960,973131776,1,100,18
903cb3bb245d,46,47,1883616,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799137792,973131776,1,100,18
903cb3bb245d,46,47,1883676,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799645696,973131776,1,100,18
903cb3bb245d,46,47,1883737,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799289344,973131776,1,100,18
903cb3bb245d,46,47,1883797,1,2,1,2,1,0.0,0.0,0.0,9318400,26902528,799424512,973131776,1,100,18
